Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Active
elig_verbal_request_why,eligibility_screening_form,Verbal Consent,notes,Please describe reason why verbal consent was not requested,,,,,,,[elig_verbal_request] = 'CH00002',,,,,,,1
elig_verbal_granted,eligibility_screening_form,Verbal Consent,radio,Was verbal consent <u>granted</u> for eligibility screening?,"CH00001, Yes | CH00002, No | CH00004, Not applicable",,,,,,[elig_verbal_request] = 'CH00001',y,RH,,,,[elig_verbal_granted] ; Version 0.0.0,1
esfv4_verbal_granted_why,eligibility_screening_form,Verbal Consent,notes,Please describe reason why verbal consent was not granted,,,,,,,[elig_verbal_granted] = 'CH00002',,,,,,,1
esfv4_confirmageclass,eligibility_screening_form,Age Classification,radio,Age classification as noted on the initial death notification was <u>[report_age_class]</u>. Confirm that this classification is correct. ,"CH00001, Yes | CH00002, No","If no age classification was indicated on the initial death notification, please select ""NO.""",,,,,[report_age_class]!='',y,RH,,,,,1
esfv4_age_class,eligibility_screening_form,Age Classification,radio,Age classification (provided by close contact of deceased),"CH0BL18, Below 18 years old | CH03278, 18-24 years old | CH03279, 25-35 years old | CHO3280, 36-45 years old | CH03281, 46-50 years old | CH03282, 51-60 years old | CH03283, 61-70 years old | CH03284, Over 71 years old | CH00003, Unknown",,,,,,[esfv4_confirmageclass] = 'CH00002',,,,,,,1
elig_dob_confirm,eligibility_screening_form,Birthdate,radio,Date of birth as noted on the initial death notification was <u>[idnf_dobclass]</u> :<u>[report_dob]</u> (DD/MM/YYYY). Is this date of birth correct? ,"CH00001, Yes|CH00002, No","If <u>Unknown</u> or no date of birth was entered on the initial death notification, please select ""NO.""",,,,,[elig_verbal_granted] = 'CH00001' or [elig_verbal_request]='CH00004' or [elig_verbal_granted]='CH00004',y,RH,,,,[elig_dob_confirmed] ; Version 0.0.0,1
esfv4_dobclass,eligibility_screening_form,Birthdate,radio,The date of birth is:,"CH01844, Exact | CH01845, Approximate | CH00003, Unknown",,,,,,[elig_dob_confirm] = 'CH00002',y,,,,,,1
elig_dob,eligibility_screening_form,Birthdate,text,Date of birth of deceased,,DD/MM/YYYY ,date_dmy,,,,[esfv4_dobclass] = 'CH01844' or [esfv4_dobclass] = 'CH01845',y,,,,,[elig_dob] ; Version 0.0.0,1
elig_dod_confirm,eligibility_screening_form,Death,radio,Date of death as noted on the initial death notification was <u>[idnf_dodclass]</u>:<u>[report_death_dt]</u> (DD/MM/YYYY). Is this date of death correct? ,"CH00001, Yes|CH00002, No","If <u>Unknown</u> or no date of death was entered on the initial death notification, please select ""NO.""",,,,,[elig_verbal_granted] = 'CH00001' or [elig_verbal_request]='CH00004' or [elig_verbal_granted]='CH00004',y,RH,,,,[elig_dod_confirm] ; Version 0.0.0,1
esfv4_dobclass_2,eligibility_screening_form,Death,radio,The date of death is:,"CH01844, Exact | CH01845, Approximate | CH00003, Unknown",,,,,,[elig_dod_confirm] = 'CH00002',y,,,,,,1
elig_dod,eligibility_screening_form,Death,text,Date of death,,DD/MM/YYYY,date_dmy,,,,[esfv4_dobclass_2] = 'CH01844' or [esfv4_dobclass_2] = 'CH01845',y,,,,,[elig_dod] ; Version 0.0.0,1
elig_confirm_time,eligibility_screening_form,Death,radio,Time of death as noted on the initial death notification was <u>[report_death_time]</u>. Is this time of death correct?,"CH00001, Yes|CH00002, No","If no time of death was entered on the initial death notification, please select ""NO.""",,,,,[elig_verbal_granted] = 'CH00001' or [elig_verbal_request]='CH00004' or [elig_verbal_granted]='CH00004',y,RH,,,,[elig_confirm_time] ; Version 0.0.0,1
elig_dth_time,eligibility_screening_form,Death,text,Time of death,,24 hour,time,,,,[elig_confirm_time]='CH00002',y,,,,,[elig_dth_time] ; Version 0.0.0,1
esf_locdeathconfirm,eligibility_screening_form,Location of Death,radio,"Place of death as noted on the initial death notification was: 
 Location: <u>[report_death_location] </u>  [report_dthloc_other] 
 Facility (if applicable): <u>[report_dthloc_code] </u>  [report_dthloc_facility_other]
Is this place of death correct?","CH00001, Yes | CH00002, No"," If EITHER location <u>OR</u> facility (if applicable) is incorrect, choose ""No""",,,,,[elig_verbal_granted] = 'CH00001' or [elig_verbal_request]='CH00004' or [elig_verbal_granted]='CH00004',y,LH,,,,,1
