"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
method_ch00280_5,clinical_lab_results,,dropdown,"Testing method","CH00124, Analysis using real time polymerase chain reaction technique (RT PCR) | CH00119, Culture | CH00117, Enzyme-linked immunosorbent assay (ELISA) | CH00118, Gram stain | CH00122, Grocott methenamine silver (GMS) stain | CH00121, Hematoxylin and eosin (HE) stain | CH00120, Malaria Smear | CH00123, Ziehl-Neelsen stain | CH01264, Other testing method",,,,,,"[result_ch00280_5] = 'CH00210' or [result_ch00280_5] = 'CH00180' or [result_ch00280_5] = 'CH00204' or [result_ch00280_5] = 'CH00216' or [result_ch00280_5] = 'CH00215'",,,,,,[testing_method]
method_oth_ch00280_5,clinical_lab_results,,text,"Specify testing method",,,,,,,[method_ch00280_5]='CH01264',,,,,,
instrument_ch00280_5,clinical_lab_results,,dropdown,"Testing instrument","CH00130, GeneXpert | CH00131, LifeTech  ViiA 7 Real Time PCR System | CH00132, LifeTech QS7 Real Time PCR System | CH00133, BD BACTEC | CH00143, BioMerieux BacT/ALERT | CH00151, Abbott m2000 | CH00152, Roche COBAS TaqMan Analyzer/COBAS TaqMan 48 Analyzer | CH00126, Roche Amplicor Monitor | CH00127, BioMerieux NucliSens easyQ | CH00128, Versant kPCR | CH00129, Other instrument",,,,,,"[result_ch00280_5] = 'CH00210' or [result_ch00280_5] = 'CH00180' or [result_ch00280_5] = 'CH00204' or [result_ch00280_5] = 'CH00216' or [result_ch00280_5] = 'CH00215'",,,,,,"[testing_instrument] "
facility_ch00280_5,clinical_lab_results,,text,"Testing facility",,,,,,,"[result_ch00280_5] = 'CH00210' or [result_ch00280_5] = 'CH00180' or [result_ch00280_5] = 'CH00204' or [result_ch00280_5] = 'CH00216' or [result_ch00280_5] = 'CH00215'",,,,,,"[testing_facility] "
comment_ch00280_5,clinical_lab_results,,notes,Comments,,,,,,,"[result_ch00280_5] = 'CH00210' or [result_ch00280_5] = 'CH00180' or [result_ch00280_5] = 'CH00204' or [result_ch00280_5] = 'CH00216' or [result_ch00280_5] = 'CH00215'",,,,,,"[comment] "
bld_avail_yn,bld_microbiology_results,"Blood Culture",radio,"Was blood available for microbiology testing?","CH00001, Yes | CH00002, No",,,,,,,y,RH,,,,
bottle_type,bld_microbiology_results,,radio,"What type of culture bottle used? 
","1, Aerobic | 2, Anaerobic",,,,,,"[bld_avail_yn] = 'CH00001'",,,,,,
bld_testing_facility,bld_microbiology_results,,text,"Testing facility",,,,,,,"[bld_avail_yn] = 'CH00001'",,,,,,
bld_specimen_id,bld_microbiology_results,,text,"Specimen ID",,,,,,,"[bld_avail_yn] = 'CH00001'",,,,,,"[specimen_ID] for all blood culture results"
bld_contype_ch00603,bld_microbiology_results,,checkbox,"Specimen Condition","CH00225, Received in appropriate conditions and timeframe | CH00226, Received MORE THAN 12 hours after collection | CH00227, Problem with tube labeling | CH00228, Container leaking | CH00229, Wrong type of tube or container | CH00230, Inappropriate temperature | CH00231, Other condition","check all that apply",,,,,"[bld_avail_yn] = 'CH00001'",,,,,,"[specimen_condition] ."
bld_conother_ch00603,bld_microbiology_results,,text,"Please specify",,,,,,,"[bld_contype_ch00603(CH00231)] = '1'",,,,,,"[comments] associated with test  [test_code_6463_4]  Version 0.0.0."
bld_test_code_ch00603,bld_microbiology_results,,radio,"Confirm test for which you are entering results","CH00603, Blood Culture",,,,,,,y,RH,,,,
bld_specimen_type_ch00603,bld_microbiology_results,,radio,"Specimen type","CH00093, Blood",,,,,,,y,,,,,
bld_result_ch00603,bld_microbiology_results,,radio,"Machine result","CH00211, Bacterial growth <u>present</u> (Alarm) | CH00200, Bacterial growth <u>absent</u> (No Alarm) | CH00206, Not tested | CH03201, Result pending",,,,,,,y,,,,,"[result_codedvalue] associated with test  [test_code_6463_4]"
bld_not_done_ch00603,bld_microbiology_results,,radio,"Reason not done","CH00218, Sample not received or lost | CH00219, Sample mix-up or aliquotting or labeling error | CH00220, Sample not handled or processed correctly | CH00221, Wrong test ordered | CH00222, No or Incomplete test run (reagent or instrument or method problem) | CH00223, Invalid test run (QC failure) | CH00217, Sample quantity not sufficient |CH00224, Other reason",,,,,,"[bld_result_ch00603] = 'CH00206'",,,,,,"[reason_nottested] associated with test  [test_code_6463_4] "
bld_reason_ch00603,bld_microbiology_results,,notes,"Please explain",,,,,,,"[bld_not_done_ch00603] = 'CH00224'",,,,,,
bld_dt_auto_ch00603,bld_microbiology_results,,text,"Date placed in automated blood culture",,,date_dmy,,,,"[bld_result_ch00603] = 'CH00211' or [bld_result_ch00603] = 'CH00200'",,,,,,"[testing_date]  associated with test  [test_code_6463_4]  "
